LakeID,FIN,County,WATER,Alternate_Name,Lake_Proj_Code_Ref::LAKE_PROJ_CODE,Beaches,PWS,Waterbody_Classification,WaterClassPartNo,Dam Class,M_BAS_NAME,BASIN_NAME,M_BASIN_ID,BasinSub,ACRES,SHORELINE_,AREA,LEN,P#,PWLID,_8_Digit_HUC,DATE_ADDED,Waterbody_Type,Chla_PWS
0904CEN0376,SL-2-59-46-P376,St Lawrence,Center Pond,,,No,No,CT,910-1074,,St. Lawrence River Basin,Grass River,9,904,17.90 ,1.20 ,72575 ,1960.24 ,376,0904-0070,,,Lake,10
0904BUR0375,SL-2-59-40-P375,St Lawrence,Burntbridge Pond,,,No,No, ,910-1072a,,St. Lawrence River Basin,Grass River,9,904,55.30 ,1.40 ,223895 ,2322.70 ,375,0904-0069,,,Lake,
0904BOO0374,SL-P374,St Lawrence,Boottree Pond,,,No,No,C(T),910-1070,,St. Lawrence River Basin,Grass River,9,904,18.10 ,1.10 ,73323 ,1746.29 ,374,0904-0068,,,Lake,10
0904DEE0372,SL-P372,St Lawrence,Deer Pond,,,No,No,C(T),910-1070,,St. Lawrence River Basin,Grass River,9,904,31.60 ,1.20 ,127836 ,1909.07 ,372,0904-0068,,,Lake,10
0904TOW0373,SL-P373,St Lawrence,Townline Pond,,,No,No,C(T),910-1070,,St. Lawrence River Basin,Grass River,9,904,41.80 ,1.10 ,169327 ,1842.00 ,373,0904-0068,,,Lake,10
0904CAT0370,SL-2-59-39-P369-2-P370,St Lawrence,Catamount Pond,,,No,No,BT,910-1068,,St. Lawrence River Basin,Grass River,9,904,103.10 ,2.00 ,417123 ,3210.11 ,370,0904-0067,,,Lake,10
0904MAS0369,SL-2-59-39-P369,St Lawrence,Massawepie Lake,,,Yes,No,B,910-1066,,St. Lawrence River Basin,Grass River,9,904,439.50 ,8.20 ,1778708 ,13205.21 ,369,0904-0066,,,Lake,10
0904PIN0368,SL-P368,St Lawrence,Pine Pond,,,No,No,,,,St. Lawrence River Basin,Grass River,9,904,15.60 ,0.70 ,63327 ,1206.60 ,368,0904-0065,,,Lake,
0904JOC0367,SL-2-59-37-P367,St Lawrence,Jocks Pond,,,No,No,CT,910-1064,,St. Lawrence River Basin,Grass River,9,904,40.10 ,1.20 ,162402 ,1855.69 ,367,0904-0064,,,Lake,10
0904GRA0366,SL-2-59-P366,St Lawrence,Grass River Flow,,,No,No,CT,910-1060,,St. Lawrence River Basin,Grass River,9,904,187.00 ,7.20 ,756571 ,11615.95 ,366,0904-0063,,,Lake,10
0904BAL0364,SL-2-59-34-P364,St Lawrence,Balsam Pond,,,No,No,CT,910-1058,,St. Lawrence River Basin,Grass River,9,904,6.20 ,0.40 ,25110 ,693.15 ,364,0904-0062,,,Lake,10
0904SEV0355,SL-2-59-32-2-P355,St Lawrence,Sevey Pond,,,No,No,CT,910-1052,,St. Lawrence River Basin,Grass River,9,904,24.50 ,3.00 ,99331 ,4905.89 ,355,0904-0061,,,Lake,10
0904SAM0352,SL-2-59-32-1-P352,St Lawrence,Sampson Pond,,,No,No,D,910-1050,,St. Lawrence River Basin,Grass River,9,904,65.70 ,3.10 ,265744 ,5021.18 ,352,0904-0060,,,Lake,10
0904SIL0351,SL-2-59-31-P351,St Lawrence,Silver Lake,,117,No,No,CT,910-1049,,St. Lawrence River Basin,Grass River,9,904,113.20 ,2.70 ,458261 ,4267.56 ,351,0904-0059,,,Lake,10
0904BRO0348,SL-2-59-27-1-P348,St Lawrence,Brother Ponds,,,No,No,CT,910-1049,,St. Lawrence River Basin,Grass River,9,904,12.40 ,0.70 ,50219 ,1128.61 ,348,0904-0058,,,Lake,10
0904BRO0349,SL-2-59-27-P349,St Lawrence,Brother Ponds,,,No,No,CT,910-1049,,St. Lawrence River Basin,Grass River,9,904,10.10 ,1.10 ,40857 ,1731.94 ,349,0904-0058,,,Lake,10
0904BRO0350,SL-2-59-27-P350,St Lawrence,Brother Ponds,,,No,No,CT,910-1049,,St. Lawrence River Basin,Grass River,9,904,37.70 ,1.20 ,152697 ,1926.92 ,350,0904-0058,,,Lake,10
0904COO0347,SL-2-59-25-P347,St Lawrence,Cook Pond,,,No,No,CT,910-1048,,St. Lawrence River Basin,Grass River,9,904,43.70 ,1.20 ,176653 ,1892.38 ,347,0904-0057,,,Lake,10
0904MOO0345,SL-2-59-18-P345,St Lawrence,Moosehead Pond,,,No,No,D,910-1045,,St. Lawrence River Basin,Grass River,9,904,63.00 ,1.90 ,254909 ,3003.72 ,345,0904-0056,,,Lake,10
0904LMO0344,SL-2-59-18-P344,St Lawrence,Little Moosehead Pond,,,No,No,D,910-1045,,St. Lawrence River Basin,Grass River,9,904,7.50 ,0.50 ,30302 ,865.82 ,344,0904-0056,,,Lake,10
0904UWB5077,SL-P5077,St Lawrence,Unnamed Water,,,No,No,D,910-1036,,St. Lawrence River Basin,Grass River,9,904,19.50 ,1.30 ,78732 ,2043.64 ,5077,0904-0055,,,Lake,10
0904ALL0343,SL-2-59-13-P343,St Lawrence,Allen Pond,,,No,No,C(T),910-1039,,St. Lawrence River Basin,Grass River,9,904,15.20 ,0.80 ,61709 ,1356.33 ,343,0904-0054,,,Lake,10
0904MIL0342,SL-2-59-13-2-P342,St Lawrence,Mile Pond,,,No,No,CT,910-1039,,St. Lawrence River Basin,Grass River,9,904,16.70 ,1.00 ,67412 ,1583.17 ,342,0904-0054,,,Lake,10
0904PLE0341,SL-2-58-16-P341,St Lawrence,Pleasant Lake,,,No,No,CT,910-1033,,St. Lawrence River Basin,Grass River,9,904,41.60 ,1.20 ,168505 ,1874.50 ,341,0904-0050,,,Lake,10
0904CLE0337,SL-2-58-15-5-P337,St Lawrence,Clear Pond,,,No,No,CT,910-1030,,St. Lawrence River Basin,Grass River,9,904,31.20 ,1.20 ,126244 ,1896.81 ,337,0904-0049,,,Lake,10
0904LBL0336,SL-2-58-15-4-P336,St Lawrence,Little Blue Pond,,,No,No,CT,910-1030,,St. Lawrence River Basin,Grass River,9,904,12.90 ,0.60 ,52082 ,916.52 ,336,0904-0049,,,Lake,10
0904BLU0335,SL-2-58-14-2-P335,St Lawrence,Blue Pond,,,No,No,CT,910-1029,,St. Lawrence River Basin,Grass River,9,904,5.10 ,0.30 ,20443 ,540.61 ,335,0904-0048,,,Lake,10
0904TRA0332,SL-2-58-12-P332,St Lawrence,Tracy Pond,,,No,No,CT,910-1027,,St. Lawrence River Basin,Grass River,9,904,27.70 ,1.70 ,112247 ,2657.50 ,332,0904-0047,,,Lake,10
0904PAR0331,SL-2-58-9-P331,St Lawrence,Parmeter Pond,,,No,No,D,910-1025,,St. Lawrence River Basin,Grass River,9,904,26.90 ,1.40 ,108735 ,2191.14 ,331,0904-0046,,,Lake,10
0904BOY0329,SL-2-57-P329,St Lawrence,Boyd Pond,,,No,No,CT,910-1021,,St. Lawrence River Basin,Grass River,9,904,84.90 ,2.30 ,343406 ,3695.87 ,329,0904-0044,,,Lake,10
0904CHU0323,SL-2-48-P323,St Lawrence,Church Pond,,,No,No,CT,910-1018a,,St. Lawrence River Basin,Grass River,9,904,24.60 ,2.30 ,99468 ,3638.02 ,323,0904-0043,,,Lake,10
0904LON0321,SL-2-48-20-P321,St Lawrence,Long Pond,,,No,No,CT,910-1018,,St. Lawrence River Basin,Grass River,9,904,35.50 ,1.30 ,143581 ,2115.45 ,321,0904-0042,,,Lake,10
0904ORM0320A,SL-2-48-19-P320A,St Lawrence,Ormsbee Pond,,,No,No,CT,910-1018,,St. Lawrence River Basin,Grass River,9,904,21.10 ,0.70 ,85459 ,1196.45 ,320,0904-0041,,,Lake,10
0904LAK0317,SL-2-48-10-P317,St Lawrence,Lake Pond,,,No,No,C,910-1016,,St. Lawrence River Basin,Grass River,9,904,32.10 ,1.50 ,130063 ,2477.03 ,317,0904-0040,,,Lake,10
0904TWI0315,SL-2-48-10-1-P315,St Lawrence,Twin Ponds,,,No,No,C,910-1016,,St. Lawrence River Basin,Grass River,9,904,3.50 ,0.30 ,14035 ,441.89 ,315,0904-0040,,,Lake,10
0904TWI0316,SL-2-48-10-1-P316,St Lawrence,Twin Ponds,,,No,No,C,910-1016,,St. Lawrence River Basin,Grass River,9,904,7.10 ,0.40 ,28783 ,711.45 ,316,0904-0039,,,Lake,10
0904HOR0309,SL-2-48-5-P308-1-P309,St Lawrence,Horseshoe Pond,,,No,No,CT,910-1013,,St. Lawrence River Basin,Grass River,9,904,15.40 ,1.10 ,62419 ,1776.95 ,309,0904-0038,,,Lake,10
0904MUD0308,SL-2-48-5-P308,St Lawrence,Mud Pond,,,No,No,D,910-1012,,St. Lawrence River Basin,Grass River,9,904,6.60 ,0.80 ,26604 ,1339.43 ,308,0904-0037,,,Lake,10
0904CLE0306,SL-2-48-4-1-P306,St Lawrence,Clear Lake,,,No,No,C(T),910-1009,,St. Lawrence River Basin,Grass River,9,904,28.70 ,1.00 ,116306 ,1550.98 ,306,0904-0036,,,Lake,10
0904LON0301,SL-2-45-23-P301,St Lawrence,Long Pond,,,No,No,CT,910-1002,,St. Lawrence River Basin,Grass River,9,904,35.40 ,1.80 ,143247 ,2882.56 ,301,0904-0033,,,Lake,10
0904ROU0303,SL-2-45-P303,St Lawrence,Round Pond,,,No,No,CT,910-1002,,St. Lawrence River Basin,Grass River,9,904,17.80 ,0.80 ,72090 ,1212.84 ,303,0904-0033,,,Lake,10
0904ORE0300,SL-P300,St Lawrence,Orebed Ponds,,,No,No,D,910-1001,,St. Lawrence River Basin,Grass River,9,904,9.10 ,0.60 ,36847 ,1025.93 ,300,0904-0032,,,Lake,10
0904SWE0296,SL-2-45-15-P296,St Lawrence,Sweet Pond,,,No,No,CTS,910-999.1,,St. Lawrence River Basin,Grass River,9,904,13.10 ,0.80 ,52852 ,1305.65 ,296,0904-0031,,,Lake,10
0904WAR0295,SL-2-45-11-3-P295,St Lawrence,Warden Pond,,,No,No,D,910-999,,St. Lawrence River Basin,Grass River,9,904,2.90 ,0.30 ,11782 ,451.19 ,295,0904-0030,,,Lake,10
0904TRO0293,SL-P293,St Lawrence,Trout Lake,,,No,No,BT,910-993,,St. Lawrence River Basin,Grass River,9,904,357.40 ,9.20 ,1446198 ,14834.01 ,293,0904-0028,,,Lake,10
